,Adj Close,Adj Close,Close,Close,High,High,Low,Low,Open,Open,Volume,Volume
,AAPL,MSFT,AAPL,MSFT,AAPL,MSFT,AAPL,MSFT,AAPL,MSFT,AAPL,MSFT
Date,,,,,,,,,,,,
2022-08-18,173.86158752441406,289.35455322265625,174.14999389648438,290.1700134277344,174.89999389648438,291.9100036621094,173.1199951171875,289.0799865722656,173.75,290.19000244140625,62290100,17186200
2022-08-19,171.23594665527344,285.3458557128906,171.52000427246094,286.1499938964844,173.74000549316406,289.25,171.30999755859375,285.55999755859375,173.02999877929688,288.8999938964844,70346300,20570000
2022-08-22,167.29249572753906,276.9694519042969,167.57000732421875,277.75,169.86000061035156,282.4599914550781,167.13999938964844,277.2200012207031,169.69000244140625,282.0799865722656,69026800,25061100
2022-08-23,166.9530487060547,275.66314697265625,167.22999572753906,276.44000244140625,168.7100067138672,278.8599853515625,166.64999389648438,275.3999938964844,167.0800018310547,276.44000244140625,54147100,17527400
2022-08-24,167.25254821777344,275.0149841308594,167.52999877929688,275.7900085449219,168.11000061035156,277.2300109863281,166.25,275.1099853515625,167.32000732421875,275.4100036621094,53841500,18137000
2022-08-25,169.7484130859375,278.0663757324219,170.02999877929688,278.8500061035156,170.13999938964844,279.0199890136719,168.35000610351562,274.5199890136719,168.77999877929688,277.3299865722656,51218200,16583400
2022-08-26,163.34901428222656,267.33660888671875,163.6199951171875,268.0899963378906,171.0500030517578,280.3399963378906,163.55999755859375,267.9800109863281,170.57000732421875,279.0799865722656,78961000,27549300
2022-08-29,161.1127471923828,264.4846496582031,161.3800048828125,265.2300109863281,162.89999389648438,267.3999938964844,159.82000732421875,263.8500061035156,161.14999389648438,265.8500061035156,73314000,20338500
2022-08-30,158.64683532714844,262.2309875488281,158.91000366210938,262.9700012207031,162.55999755859375,267.04998779296875,157.72000122070312,260.6600036621094,162.1300048828125,266.6700134277344,77906200,22767100
2022-08-31,156.95962524414062,260.7351989746094,157.22000122070312,261.4700012207031,160.5800018310547,267.1099853515625,157.13999938964844,261.3299865722656,160.30999755859375,265.3900146484375,87991100,24791800
2022-09-01,157.6984100341797,259.668212890625,157.9600067138672,260.3999938964844,158.4199981689453,260.8900146484375,154.6699981689453,255.41000366210938,156.63999938964844,258.8699951171875,74229900,23263400
2022-09-02,155.5519561767578,255.3404083251953,155.80999755859375,256.05999755859375,160.36000061035156,264.739990234375,154.97000122070312,254.47000122070312,159.75,261.70001220703125,76957800,22855400
2022-09-06,154.27407836914062,252.53829956054688,154.52999877929688,253.25,157.08999633789062,257.8299865722656,153.69000244140625,251.94000244140625,156.47000122070312,256.20001220703125,73714800,21328200
2022-09-07,155.70172119140625,257.3647155761719,155.9600067138672,258.0899963378906,156.6699981689453,258.8299865722656,153.61000061035156,253.22000122070312,154.82000732421875,254.6999969482422,87449600,24126700
2022-09-08,154.20420837402344,257.7934875488281,154.4600067138672,258.5199890136719,156.36000061035156,260.42999267578125,152.67999267578125,254.7899932861328,154.63999938964844,257.510009765625,84923800,20319900
2022-09-09,157.109375,263.716796875,157.3699951171875,264.4599914550781,157.82000732421875,265.2300109863281,154.75,260.2900085449219,155.47000122070312,260.5,68028800,22084700
2022-09-12,163.15933227539062,265.900634765625,163.42999267578125,266.6499938964844,164.25999450683594,267.45001220703125,159.3000030517578,265.1600036621094,159.58999633789062,265.7799987792969,104956000,18747700
2022-09-13,153.58522033691406,251.2818603515625,153.83999633789062,251.99000549316406,160.5399932861328,260.3999938964844,153.3699951171875,251.58999633789062,159.89999389648438,258.8399963378906,122656600,33353300
