,,0
CAT,VZ,0.26809351383418156
AMGN,MSFT,0.2671737025472213
DOW,UNH,0.2669145351632286
JPM,WMT,0.26215271322977224
DOW,PG,0.2607055523607261
DIS,UNH,0.2606044992623494
INTC,WMT,0.258531065502436
GS,WMT,0.25638848517197943
BA,PG,0.252956351213342
CSCO,CVX,0.25253496914948587
BA,TRV,0.250892310191076
VZ,WMT,0.25053268096396514
BA,CVX,0.24930381417927505
MMM,WMT,0.24795438042264112
CVX,V,0.2461363239738941
AXP,CVX,0.2452037114236795
CAT,MRK,0.2402444764877904
GS,MRK,0.23918300050262617
MRK,MSFT,0.23637785634116767
CRM,WMT,0.23510953441257465
V,WMT,0.23482081484174724
CRM,VZ,0.2333436339346697
AMGN,NKE,0.23103125838159186
CVX,VZ,0.227511425420195
DIS,VZ,0.22706903956981908
AMGN,WMT,0.22667906472072424
MRK,WMT,0.22464643942783546
MRK,NKE,0.2162437688297955
CAT,JNJ,0.21472635805407314
BA,VZ,0.2131617613770708
CRM,TRV,0.21302024498310185
DOW,MRK,0.21281049940521102
DOW,WMT,0.21229321212149574
INTC,MRK,0.2119781252132207
CVX,MMM,0.21126641650911487
CVX,WMT,0.2084454769438266
DIS,JNJ,0.20472173121439882
CRM,JNJ,0.2031337320828684
CVX,KO,0.2030804960673976
CAT,WMT,0.19971653809633175
AXP,MRK,0.19315916762345794
CVX,MRK,0.19312245621934518
TRV,WMT,0.1912851692478889
CAT,PG,0.1895906575059921
CVX,MCD,0.1819456822421806
CVX,HD,0.18191412289000697
DOW,JNJ,0.17977667777953021
AMGN,DIS,0.17071240766861231
BA,WMT,0.1670347962109508
CRM,MRK,0.16563826251032523
BA,JNJ,0.14781407438729224
AMGN,BA,0.13824900465467976
AMGN,CRM,0.13606224994455504
BA,MRK,0.11702736903428021
DIS,MRK,0.10189891286140573
AMGN,CVX,0.09396959304583996
CVX,JNJ,0.09330262004198357
CVX,PG,0.02253881544464108
